"variable","libelle","dimension","type","origine","minimum","maximum","modalites_observees","n_manquants","description"
"Z_DIF","Score standardisé DIF","DIF","numeric","questionnaire_scores.rds",NA,NA,NA,9,"(SCORE - moyenne non pondérée disponible) / écart-type ; paramètres dans regles_scores_definitifs.csv."
"Z_EVA","Score standardisé EVA","EVA","numeric","questionnaire_scores.rds",NA,NA,NA,6,"(SCORE - moyenne non pondérée disponible) / écart-type ; paramètres dans regles_scores_definitifs.csv."
"Z_GCL","Score standardisé GCL","GCL","numeric","questionnaire_scores.rds",NA,NA,NA,9,"(SCORE - moyenne non pondérée disponible) / écart-type ; paramètres dans regles_scores_definitifs.csv."
"Z_COL","Score standardisé COL","COL","numeric","questionnaire_scores.rds",NA,NA,NA,5,"(SCORE - moyenne non pondérée disponible) / écart-type ; paramètres dans regles_scores_definitifs.csv."
"Z_NUM","Score standardisé NUM","NUM","numeric","questionnaire_scores.rds",NA,NA,NA,11,"(SCORE - moyenne non pondérée disponible) / écart-type ; paramètres dans regles_scores_definitifs.csv."
"Z_DEV","Score standardisé DEV","DEV","numeric","questionnaire_scores.rds",NA,NA,NA,13,"(SCORE - moyenne non pondérée disponible) / écart-type ; paramètres dans regles_scores_definitifs.csv."
"Z_REL","Score standardisé REL","REL","numeric","questionnaire_scores.rds",NA,NA,NA,21,"(SCORE - moyenne non pondérée disponible) / écart-type ; paramètres dans regles_scores_definitifs.csv."
"NB_ITEMS_EXP","Nombre d'items renseignés EXP","EXP","numeric","questionnaire_scores.rds",0,6,NA,0,"Variable conservée sans transformation ; données simulées."
"NB_ITEMS_DIF","Nombre d'items renseignés DIF","DIF","numeric","questionnaire_scores.rds",0,6,NA,0,"Variable conservée sans transformation ; données simulées."
"NB_ITEMS_EVA","Nombre d'items renseignés EVA","EVA","numeric","questionnaire_scores.rds",0,6,NA,0,"Variable conservée sans transformation ; données simulées."
"NB_ITEMS_GCL","Nombre d'items renseignés GCL","GCL","numeric","questionnaire_scores.rds",0,6,NA,0,"Variable conservée sans transformation ; données simulées."
"NB_ITEMS_COL","Nombre d'items renseignés COL","COL","numeric","questionnaire_scores.rds",0,6,NA,0,"Variable conservée sans transformation ; données simulées."
"NB_ITEMS_NUM","Nombre d'items renseignés NUM","NUM","numeric","questionnaire_scores.rds",0,6,NA,0,"Variable conservée sans transformation ; données simulées."
"NB_ITEMS_DEV","Nombre d'items renseignés DEV","DEV","numeric","questionnaire_scores.rds",0,6,NA,0,"Variable conservée sans transformation ; données simulées."
"NB_ITEMS_REL","Nombre d'items renseignés REL","REL","numeric","questionnaire_scores.rds",0,6,NA,0,"Variable conservée sans transformation ; données simulées."
"FAIS_EXP","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de enseignement explicite ?","EXP","integer","questionnaire_scores.rds",1,5,NA,33,"Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_DIF","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de différenciation pédagogique ?","DIF","integer","questionnaire_scores.rds",1,5,NA,29,"Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_EVA","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de évaluation formative et feedback ?","EVA","integer","questionnaire_scores.rds",1,5,NA,30,"Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_GCL","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de gestion de classe ?","GCL","integer","questionnaire_scores.rds",1,5,NA,36,"Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_COL","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de collaboration professionnelle ?","COL","integer","questionnaire_scores.rds",1,5,NA,31,"Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_NUM","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de usage pédagogique du numérique ?","NUM","integer","questionnaire_scores.rds",1,5,NA,24,"Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_DEV","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de développement professionnel ?","DEV","integer","questionnaire_scores.rds",1,5,NA,32,"Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_REL","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de relations éducatives ?","REL","integer","questionnaire_scores.rds",1,5,NA,30,"Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_EXP","Quelle priorité accordez-vous au développement de vos pratiques de enseignement explicite au cours des douze prochains mois ?","EXP","integer","questionnaire_scores.rds",1,5,NA,118,"Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_DIF","Quelle priorité accordez-vous au développement de vos pratiques de différenciation pédagogique au cours des douze prochains mois ?","DIF","integer","questionnaire_scores.rds",1,5,NA,116,"Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_EVA","Quelle priorité accordez-vous au développement de vos pratiques de évaluation formative et feedback au cours des douze prochains mois ?","EVA","integer","questionnaire_scores.rds",1,5,NA,105,"Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_GCL","Quelle priorité accordez-vous au développement de vos pratiques de gestion de classe au cours des douze prochains mois ?","GCL","integer","questionnaire_scores.rds",1,5,NA,101,"Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_COL","Quelle priorité accordez-vous au développement de vos pratiques de collaboration professionnelle au cours des douze prochains mois ?","COL","integer","questionnaire_scores.rds",1,5,NA,118,"Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_NUM","Quelle priorité accordez-vous au développement de vos pratiques de usage pédagogique du numérique au cours des douze prochains mois ?","NUM","integer","questionnaire_scores.rds",1,5,NA,98,"Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_DEV","Quelle priorité accordez-vous au développement de vos pratiques de développement professionnel au cours des douze prochains mois ?","DEV","integer","questionnaire_scores.rds",1,5,NA,127,"Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_REL","Quelle priorité accordez-vous au développement de vos pratiques de relations éducatives au cours des douze prochains mois ?","REL","integer","questionnaire_scores.rds",1,5,NA,132,"Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"cellule_nr","Cellule de correction de non-réponse",NA,"character","questionnaire_weighted.rds",NA,NA,"COL_PRIVE | COL_PUBLIC_HEP | COL_PUBLIC_REP | COL_PUBLIC_REPPLUS | P1_PRIVE | P1_PUBLIC_HEP | P1_PUBLIC_REP | P1_PUBLIC_REPPLUS",0,"Variable conservée sans transformation ; données simulées."
"facteur_nr","Facteur de correction de non-réponse",NA,"numeric","questionnaire_weighted.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"poids_nr","Poids corrigé de non-réponse",NA,"numeric","questionnaire_weighted.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"facteur_calibration","Multiplicateur de calibration",NA,"numeric","questionnaire_weighted.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"poids_final","Poids final calibré",NA,"numeric","questionnaire_weighted.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"GAP_EXP","Écart priorité moins pratique EXP","EXP","numeric","Calcul analytique",-4,4,NA,123,"PRIO_EXP - SCORE_EXP ; NA si l'un manque. Différence exploratoire d'ancrages distincts."
"CONTRAINTE_EXP","Contrainte perçue dérivée de la faisabilité EXP","EXP","numeric","Calcul analytique",0,4,NA,33,"5 - FAIS_EXP ; de 0 (faisabilité maximale) à 4 ; NA propagé. Indicateur dérivé, pas une échelle validée de contraintes."
"GAP_DIF","Écart priorité moins pratique DIF","DIF","numeric","Calcul analytique",-4,4,NA,123,"PRIO_DIF - SCORE_DIF ; NA si l'un manque. Différence exploratoire d'ancrages distincts."
"CONTRAINTE_DIF","Contrainte perçue dérivée de la faisabilité DIF","DIF","numeric","Calcul analytique",0,4,NA,29,"5 - FAIS_DIF ; de 0 (faisabilité maximale) à 4 ; NA propagé. Indicateur dérivé, pas une échelle validée de contraintes."
"GAP_EVA","Écart priorité moins pratique EVA","EVA","numeric","Calcul analytique",-4,4,NA,110,"PRIO_EVA - SCORE_EVA ; NA si l'un manque. Différence exploratoire d'ancrages distincts."
"CONTRAINTE_EVA","Contrainte perçue dérivée de la faisabilité EVA","EVA","numeric","Calcul analytique",0,4,NA,30,"5 - FAIS_EVA ; de 0 (faisabilité maximale) à 4 ; NA propagé. Indicateur dérivé, pas une échelle validée de contraintes."
"GAP_GCL","Écart priorité moins pratique GCL","GCL","numeric","Calcul analytique",-4,4,NA,109,"PRIO_GCL - SCORE_GCL ; NA si l'un manque. Différence exploratoire d'ancrages distincts."
"CONTRAINTE_GCL","Contrainte perçue dérivée de la faisabilité GCL","GCL","numeric","Calcul analytique",0,4,NA,36,"5 - FAIS_GCL ; de 0 (faisabilité maximale) à 4 ; NA propagé. Indicateur dérivé, pas une échelle validée de contraintes."
"GAP_COL","Écart priorité moins pratique COL","COL","numeric","Calcul analytique",-4,4,NA,121,"PRIO_COL - SCORE_COL ; NA si l'un manque. Différence exploratoire d'ancrages distincts."
"CONTRAINTE_COL","Contrainte perçue dérivée de la faisabilité COL","COL","numeric","Calcul analytique",0,4,NA,31,"5 - FAIS_COL ; de 0 (faisabilité maximale) à 4 ; NA propagé. Indicateur dérivé, pas une échelle validée de contraintes."
"GAP_NUM","Écart priorité moins pratique NUM","NUM","numeric","Calcul analytique",-4,4,NA,103,"PRIO_NUM - SCORE_NUM ; NA si l'un manque. Différence exploratoire d'ancrages distincts."
"CONTRAINTE_NUM","Contrainte perçue dérivée de la faisabilité NUM","NUM","numeric","Calcul analytique",0,4,NA,24,"5 - FAIS_NUM ; de 0 (faisabilité maximale) à 4 ; NA propagé. Indicateur dérivé, pas une échelle validée de contraintes."
"GAP_DEV","Écart priorité moins pratique DEV","DEV","numeric","Calcul analytique",-4,4,NA,129,"PRIO_DEV - SCORE_DEV ; NA si l'un manque. Différence exploratoire d'ancrages distincts."
"CONTRAINTE_DEV","Contrainte perçue dérivée de la faisabilité DEV","DEV","numeric","Calcul analytique",0,4,NA,32,"5 - FAIS_DEV ; de 0 (faisabilité maximale) à 4 ; NA propagé. Indicateur dérivé, pas une échelle validée de contraintes."
"GAP_REL","Écart priorité moins pratique REL","REL","numeric","Calcul analytique",-4,4,NA,139,"PRIO_REL - SCORE_REL ; NA si l'un manque. Différence exploratoire d'ancrages distincts."
"CONTRAINTE_REL","Contrainte perçue dérivée de la faisabilité REL","REL","numeric","Calcul analytique",0,4,NA,30,"5 - FAIS_REL ; de 0 (faisabilité maximale) à 4 ; NA propagé. Indicateur dérivé, pas une échelle validée de contraintes."
