"parametre","position","valeur","type","source","avertissement"
"imperfections.nombre_rapides",1,"25","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.nombre_items_constants",1,"46","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.nombre_trous_partiel",1,"18","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.abandon_position",1,"20","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.abandon_position",2,"48","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.duree_mediane",1,"900","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.duree_sdlog",1,"0.3","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.duree_min_normale",1,"300","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.duree_rapide",1,"20","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.duree_rapide",2,"90","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.date_debut",1,"2026-09-01","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.nombre_jours",1,"10","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"questionnaire_brut.sortie",1,"data/simulated/questionnaire_brut.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"nettoyage.version_regles",1,"1.0","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"nettoyage.completion_principale",1,"0.5","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"nettoyage.minimum_pratiques",1,"24","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"nettoyage.completion_sensibilite",1,"0.8","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"nettoyage.sortie_clean",1,"data/processed/questionnaire_clean.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"nettoyage.sortie_exclus",1,"data/processed/questionnaire_exclus.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"nettoyage.sortie_decisions",1,"data/interim/questionnaire_statuts.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"ponderation.minimum_selectionnes",1,"50","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"ponderation.minimum_repondants",1,"30","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"ponderation.bornes_calibration",1,"0.5","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"ponderation.bornes_calibration",2,"2","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"ponderation.tolerance",1,"1e-08","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"ponderation.sortie",1,"data/processed/questionnaire_weighted.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.taille",1,"100000","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.graine",1,"20260909","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.sortie",1,"data/simulated/population_enseignants.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.degres",1,"Premier degré","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.degres",2,"Collège","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_degre",1,"0.58","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_degre",2,"0.42","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.sexes",1,"Femme","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.sexes",2,"Homme","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilite_femme",1,"0.82","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilite_femme",2,"0.59","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.secteurs",1,"Public","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.secteurs",2,"Privé sous contrat","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilite_prive",1,"0.14","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilite_prive",2,"0.21","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.territoires",1,"Urbain","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.territoires",2,"Périurbain","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.territoires",3,"Rural","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_territoire.premier",1,"0.43","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_territoire.premier",2,"0.32","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_territoire.premier",3,"0.25","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_territoire.college",1,"0.52","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_territoire.college",2,"0.31","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_territoire.college",3,"0.17","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.education_prioritaire",1,"Hors EP","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.education_prioritaire",2,"REP","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.education_prioritaire",3,"REP+","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_ep_public.urbain",1,"0.7","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_ep_public.urbain",2,"0.2","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_ep_public.urbain",3,"0.1","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_ep_public.periurbain",1,"0.86","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_ep_public.periurbain",2,"0.11","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_ep_public.periurbain",3,"0.03","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_ep_public.rural",1,"0.93","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_ep_public.rural",2,"0.06","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.probabilites_ep_public.rural",3,"0.01","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.age.minimum",1,"23","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.age.maximum",1,"65","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.age.moyennes",1,"43","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.age.moyennes",2,"44","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.age.ecart_type",1,"10","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.anciennete.age_entree_minimum",1,"22","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.anciennete.age_entree_maximum",1,"32","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.anciennete.interruptions_lambda",1,"1.2","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.anciennete.niveau_beta",1,"2","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.anciennete.niveau_beta",2,"3","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.effectif_classe.minimum",1,"12","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.effectif_classe.maximum",1,"35","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.effectif_classe.moyennes",1,"24","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.effectif_classe.moyennes",2,"27","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.effectif_classe.ecart_type",1,"3","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.effectif_classe.effets_ep",1,"0","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.effectif_classe.effets_ep",2,"-2","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.effectif_classe.effets_ep",3,"-4","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.effectif_classe.effets_territoire",1,"0","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.effectif_classe.effets_territoire",2,"-0.5","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.effectif_classe.effets_territoire",3,"-1.5","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.effectif_classe.effet_prive",1,"0.5","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.statut.public",1,"Titulaire","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.statut.public",2,"Contractuel","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.statut.prive",1,"Maître contractuel ou agréé","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.statut.prive",2,"Maître délégué","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.statut.probabilite_temporaire",1,"0.05","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.statut.probabilite_temporaire",2,"0.09","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.statut.surcroit_debut_carriere",1,"0.06","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.statut.seuil_debut_carriere",1,"3","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.formation_continue.maximum_jours",1,"20","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.formation_continue.probabilite_base",1,"0.65","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.formation_continue.effet_ep",1,"0.07","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.formation_continue.effet_college",1,"-0.04","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.formation_continue.lambda_jours",1,"3","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.equipement_numerique.modalites",1,"Faible","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.equipement_numerique.modalites",2,"Moyen","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.equipement_numerique.modalites",3,"Bon","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.equipement_numerique.probabilites",1,"0.22","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.equipement_numerique.probabilites",2,"0.48","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.equipement_numerique.probabilites",3,"0.3","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.equipement_numerique.transfert_college",1,"0.07","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.equipement_numerique.transfert_rural",1,"-0.05","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.equipement_numerique.transfert_prive",1,"0.03","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.premier",1,"Polyvalent premier degré","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.college",1,"Français","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.college",2,"Mathématiques","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.college",3,"Histoire-géographie","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.college",4,"Langues vivantes","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.college",5,"Sciences de la vie et de la Terre","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.college",6,"Physique-chimie","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.college",7,"Technologie","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.college",8,"Éducation physique et sportive","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.college",9,"Arts plastiques","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.college",10,"Éducation musicale","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.probabilites",1,"0.18","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.probabilites",2,"0.18","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.probabilites",3,"0.13","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.probabilites",4,"0.18","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.probabilites",5,"0.07","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.probabilites",6,"0.07","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.probabilites",7,"0.06","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.probabilites",8,"0.07","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.probabilites",9,"0.03","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"population.disciplines.probabilites",10,"0.03","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
