"variable","libelle","bloc","dimension","type","modalites","minimum","maximum","score_associe","item_inverse","obligatoire","description"
"PRIO_DIF","Quelle priorité accordez-vous au développement de vos pratiques de différenciation pédagogique au cours des douze prochains mois ?","PRIORITE","DIF","entier_ordinal","1=Pas prioritaire | 2=Peu prioritaire | 3=Moyennement prioritaire | 4=Prioritaire | 5=Très prioritaire","1","5","AUCUN","FALSE","FALSE","Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_EVA","Quelle priorité accordez-vous au développement de vos pratiques de évaluation formative et feedback au cours des douze prochains mois ?","PRIORITE","EVA","entier_ordinal","1=Pas prioritaire | 2=Peu prioritaire | 3=Moyennement prioritaire | 4=Prioritaire | 5=Très prioritaire","1","5","AUCUN","FALSE","FALSE","Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_GCL","Quelle priorité accordez-vous au développement de vos pratiques de gestion de classe au cours des douze prochains mois ?","PRIORITE","GCL","entier_ordinal","1=Pas prioritaire | 2=Peu prioritaire | 3=Moyennement prioritaire | 4=Prioritaire | 5=Très prioritaire","1","5","AUCUN","FALSE","FALSE","Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_COL","Quelle priorité accordez-vous au développement de vos pratiques de collaboration professionnelle au cours des douze prochains mois ?","PRIORITE","COL","entier_ordinal","1=Pas prioritaire | 2=Peu prioritaire | 3=Moyennement prioritaire | 4=Prioritaire | 5=Très prioritaire","1","5","AUCUN","FALSE","FALSE","Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_NUM","Quelle priorité accordez-vous au développement de vos pratiques de usage pédagogique du numérique au cours des douze prochains mois ?","PRIORITE","NUM","entier_ordinal","1=Pas prioritaire | 2=Peu prioritaire | 3=Moyennement prioritaire | 4=Prioritaire | 5=Très prioritaire","1","5","AUCUN","FALSE","FALSE","Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_DEV","Quelle priorité accordez-vous au développement de vos pratiques de développement professionnel au cours des douze prochains mois ?","PRIORITE","DEV","entier_ordinal","1=Pas prioritaire | 2=Peu prioritaire | 3=Moyennement prioritaire | 4=Prioritaire | 5=Très prioritaire","1","5","AUCUN","FALSE","FALSE","Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_REL","Quelle priorité accordez-vous au développement de vos pratiques de relations éducatives au cours des douze prochains mois ?","PRIORITE","REL","entier_ordinal","1=Pas prioritaire | 2=Peu prioritaire | 3=Moyennement prioritaire | 4=Prioritaire | 5=Très prioritaire","1","5","AUCUN","FALSE","FALSE","Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"CTRL01","Pour cette question de vérification de lecture, veuillez sélectionner « Parfois ».","CONTROLE","AUCUNE","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","AUCUN","FALSE","FALSE","Contrôle de lecture explicite : réponse attendue = 3. Un écart ou une non-réponse est un signal à examiner avec les autres indicateurs ; aucune exclusion automatique. Ne pas inclure dans un score psychométrique."
"CTRL02","À quelle fréquence avez-vous répondu sans lire entièrement les questions de ce questionnaire ?","CONTROLE","AUCUNE","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","AUCUN","TRUE","FALSE","Autoévaluation inversée de la lecture : une valeur élevée signale davantage de réponses sans lecture complète. CTRL02_reverse = 6 - CTRL02. Aucun seuil ni exclusion automatique ; hors des échelles principales."
"CTRL03","Pour répondre aux questions sur les pratiques, vous êtes-vous principalement référé au niveau de classe que vous enseignez le plus ?","CONTROLE","AUCUNE","entier_binaire","0=Non | 1=Oui","0","1","AUCUN","FALSE","FALSE","Vérification déclarative du respect du champ de référence : réponse attendue selon la consigne = 1. Une réponse 0 peut révéler une consigne mal adaptée, pas nécessairement une mauvaise qualité. NA distinct de 0. Aucun score psychométrique."
"CTRL04","Dans quelle mesure avez-vous eu des difficultés à répondre avec précision aux questions sur vos pratiques ?","CONTROLE","AUCUNE","entier_ordinal","1=Pas du tout | 2=Peu | 3=Moyennement | 4=Plutôt | 5=Tout à fait","1","5","AUCUN","TRUE","FALSE","Autoévaluation inversée des difficultés de précision. CTRL04_reverse = 6 - CTRL04. Une valeur recodée élevée indique moins de difficultés déclarées ; aucun seuil ni exclusion automatique. Hors des échelles principales."
